адресовать;адрес.R+ов.S+а.S+ть.F
взвеять;вз.P+ве.R+я.S+ть.F
взвеяться;вз.P+ве.R+я.S+ть.F+ся.S
взвивать;вз.P+ви.R+ва.S+ть.F
взвиваться;вз.P+ви.R+ва.S+ть.F+ся.S
взвидеть;вз.P+вид.R+е.S+ть.F
взвизгивать;вз.P+визг.R+ива.S+ть.F
взвизгнуть;вз.P+визг.R+ну.S+ть.F
взвинтить;вз.P+винт.R+и.S+ть.F
взвинтиться;вз.P+винт.R+и.S+ть.F+ся.S
взвинченный;вз.P+винч.R+енн.S+ый.F
взвинчивать;вз.P+винч.R+ива.S+ть.F
взвинчиваться;вз.P+винч.R+ива.S+ть.F+ся.S
взвить;вз.P+ви.R+ть.F
взвиться;вз.P+ви.R+ть.F+ся.S
взвихрить;вз.P+ви.R+хр.S+и.S+ть.F
взвихриться;вз.P+ви.R+хр.S+и.S+ть.F+ся.S
взводить;вз.P+вод.R+и.S+ть.F
взводиться;вз.P+вод.R+и.S+ть.F+ся.S
взвозить;вз.P+воз.R+и.S+ть.F
взволакивать;вз.P+волак.R+ива.S+ть.F
взволакиваться;вз.P+волак.R+ива.S+ть.F+ся.S
взволновать;вз.P+волн.R+ов.S+а.S+ть.F
взволноваться;вз.P+волн.R+ов.S+а.S+ть.F+ся.S
взволочить;вз.P+волоч.R+и.S+ть.F
взволочь;вз.P+волоч.R+ь.F
взворошить;вз.P+ворош.R+и.S+ть.F
взвывать;вз.P+вы.R+ва.S+ть.F
взвыть;вз.P+вы.R+ть.F
взгадать;вз.P+гад.R+а.S+ть.F
взглядывать;вз.P+гляд.R+ыва.S+ть.F
взглянуть;вз.P+гля.R+ну.S+ть.F
взглянуться;вз.P+гля.R+ну.S+ть.F+ся.S
взгомозить;вз.P+гомоз.R+и.S+ть.F
взгомозиться;вз.P+гомоз.R+и.S+ть.F+ся.S
взгомонить;вз.P+гомон.R+и.S+ть.F
взгомониться;вз.P+гомон.R+и.S+ть.F+ся.S
взгорбить;вз.P+горб.R+и.S+ть.F
взгорбиться;вз.P+горб.R+и.S+ть.F+ся.S
взгревать;вз.P+гре.R+ва.S+ть.F
взгреметь;вз.P+грем.R+е.S+ть.F
взгреть;вз.P+гре.R+ть.F
взгромождать;вз.P+громожд.R+а.S+ть.F
взгромождаться;вз.P+громожд.R+а.S+ть.F+ся.S
взгромоздить;вз.P+громозд.R+и.S+ть.F
взгромоздиться;вз.P+громозд.R+и.S+ть.F+ся.S
взгрустнуть;вз.P+груст.R+ну.S+ть.F
взгрустнуться;вз.P+груст.R+ну.S+ть.F+ся.S
вздваивать;вз.P+дв.R+а.S+ива.S+ть.F
вздваиваться;вз.P+дв.R+а.S+ива.S+ть.F+ся.S
вздвоить;вз.P+дв.R+о.S+и.S+ть.F
вздвоиться;вз.P+дв.R+о.S+и.S+ть.F+ся.S
вздвоять;вз.P+дв.R+о.S+я.S+ть.F
вздевать;вз.P+де.R+ва.S+ть.F
вздеваться;вз.P+де.R+ва.S+ть.F+ся.S
вздергивать;вз.P+дерг.R+ив.S+а.S+ть.F
вздёргивать;вз.P+дёрг.R+ива.S+ть.F
вздергиваться;вз.P+дерг.R+ив.S+а.S+ть.F+ся.S
вздёргиваться;вз.P+дёрг.R+ива.S+ть.F+ся.S
вздернуть;вз.P+дер.R+ну.S+ть.F
вздёрнуть;вз.P+дёр.R+ну.S+ть.F
вздернуться;вз.P+дер.R+ну.S+ть.F+ся.S
вздёрнуться;вз.P+дёр.R+ну.S+ть.F+ся.S
вздеть;вз.P+де.R+ть.F
вздеться;вз.P+де.R+ть.F+ся.S
вздорить;вз.P+дор.R+и.S+ть.F
вздорожать;вз.P+дорож.R+а.S+ть.F
вздохнуть;вз.P+дох.R+ну.S+ть.F
вздрагивать;вз.P+драг.R+ива.S+ть.F
вздремнуть;вз.P+дрем.R+ну.S+ть.F
вздремнуться;вз.P+дрем.R+ну.S+ть.F+ся.S
вздрогнуть;вз.P+дрог.R+ну.S+ть.F
вздрючивать;вз.P+дрюч.R+ива.S+ть.F
вздрючить;вз.P+дрюч.R+и.S+ть.F
вздувать;вз.P+ду.R+ва.S+ть.F
вздуваться;вз.P+ду.R+ва.S+ть.F+ся.S
вздумать;вз.P+дум.R+а.S+ть.F
вздуматься;вз.P+дум.R+а.S+ть.F+ся.S
вздурить;вз.P+дур.R+и.S+ть.F
вздуриться;вз.P+дур.R+и.S+ть.F+ся.S
вздуть;вз.P+ду.R+ть.F
вздуться;вз.P+ду.R+ть.F+ся.S
вздыбить;вз.P+дыб.R+и.S+ть.F
вздыбиться;вз.P+дыб.R+и.S+ть.F+ся.S
вздыбливать;вз.P+дыб.R+л.S+ива.S+ть.F
вздыбливаться;вз.P+дыб.R+л.S+ива.S+ть.F+ся.S
вздымать;вз.P+дым.R+а.S+ть.F
вздыматься;вз.P+дым.R+а.S+ть.F+ся.S
вздыхать;вз.P+дых.R+а.S+ть.F
вздыхаться;вз.P+дых.R+а.S+ть.F+ся.S
взимать;вз.P+им.R+а.S+ть.F
взиматься;вз.P+им.R+а.S+ть.F+ся.S
взирать;в.P+зир.R+а.S+ть.F
взлаивать;вз.P+ла.R+ив.S+а.S+ть.F
взламываться;вз.P+лам.R+ыва.S+ть.F+ся.S
взломаться;вз.P+лом.R+а.S+ть.F+ся.S
взлохмаченный;вз.P+лохм.R+ач.S+енн.S+ый.F
взлупить;вз.P+луп.R+и.S+ть.F
взлущивать;вз.P+лущ.R+ив.S+а.S+ть.F
взманиваться;вз.P+ман.R+ива.S+ть.F+ся.S
взмахиваться;вз.P+мах.R+ива.S+ть.F+ся.S
взмачиваться;вз.P+мач.R+ива.S+ть.F+ся.S
взметывать;вз.P+мет.R+ыв.S+а.S+ть.F
взмётывать;вз.P+мёт.R+ыва.S+ть.F
взметываться;вз.P+мет.R+ыв.S+а.S+ть.F+ся.S
взмётываться;вз.P+мёт.R+ыва.S+ть.F+ся.S
взмотнуть;вз.P+мот.R+ну.S+ть.F
взмочиться;вз.P+моч.R+и.S+ть.F+ся.S
взмучиваться;вз.P+муч.R+ива.S+ть.F+ся.S
взнуздаться;вз.P+н.P+узд.R+а.S+ть.F+ся.S
взнуздываться;вз.P+н.P+узд.R+ыва.S+ть.F+ся.S
взныть;вз.P+ны.R+ть.F
взобраться;взо.P+бр.R+а.S+ть.F+ся.S
взодрать;взо.P+др.R+а.S+ть.F
взодраться;взо.P+др.R+а.S+ть.F+ся.S
взойти;взо.P+й.R+ти.F
взращать;вз.P+ращ.R+а.S+ть.F
взращиваться;вз.P+ращ.R+ива.S+ть.F+ся.S
взрезаться;вз.P+рез.R+а.S+ть.F+ся.S
взрезываться;вз.P+рез.R+ыва.S+ть.F+ся.S
взроиться;вз.P+ро.R+и.S+ть.F+ся.S
взрослить;вз.P+росл.R+и.S+ть.F
взрыхляться;вз.P+рыхл.R+я.S+ть.F+ся.S
взъедаться;взъ.P+ед.R+а.S+ть.F+ся.S
взъезжать;взъ.P+езж.R+а.S+ть.F
взъерепенить;взъ.P+ерепен.R+и.S+ть.F
взъерепениться;взъ.P+ерепен.R+и.S+ть.F+ся.S
взъерошенный;взъ.P+ерош.R+енн.S+ый.F
взъерошивать;взъ.P+ерош.R+ива.S+ть.F
взъерошиваться;взъ.P+ерош.R+ива.S+ть.F+ся.S
взъерошить;взъ.P+ерош.R+и.S+ть.F
взъерошиться;взъ.P+ерош.R+и.S+ть.F+ся.S
взъершить;взъ.P+ерш.R+и.S+ть.F
взъесться;взъ.P+ес.R+ть.F+ся.S
взъехать;взъ.P+ех.R+а.S+ть.F
взъярённый;взъ.P+яр.R+ённ.S+ый.F
взъярить;взъ.P+яр.R+и.S+ть.F
взывать;в.P+зыв.R+а.S+ть.F
взяточничать;вз.P+я.R+т.S+оч.S+нич.S+а.S+ть.F
видаться;вид.R+а.S+ть.F+ся.S
видеть;вид.R+е.S+ть.F
видеться;вид.R+е.S+ть.F+ся.S
виднеться;вид.R+н.S+е.S+ть.F+ся.S
видывать;вид.R+ыва.S+ть.F
визгнуть;визг.R+ну.S+ть.F
визжать;визж.R+а.S+ть.F
вильнуть;вил.R+ь.S+ну.S+ть.F
вилять;вил.R+я.S+ть.F
виляться;вил.R+я.S+ть.F+ся.S
винить;вин.R+и.S+ть.F
виниться;вин.R+и.S+ть.F+ся.S
винтить;винт.R+и.S+ть.F
винтиться;винт.R+и.S+ть.F+ся.S
винтовать;винт.R+ов.S+а.S+ть.F
винтоваться;винт.R+ов.S+а.S+ть.F+ся.S
висеть;вис.R+е.S+ть.F
виснуть;вис.R+ну.S+ть.F
витать;вит.R+а.S+ть.F
витийствовать;вити.R+й.S+ств.S+ов.S+а.S+ть.F
витый;ви.R+т.S+ый.F
вить;ви.R+ть.F
виться;ви.R+ть.F+ся.S
вихлять;вих.R+л.S+я.S+ть.F
вихляться;вих.R+л.S+я.S+ть.F+ся.S
вихриться;ви.R+хр.S+и.S+ть.F+ся.S
вкалывать;в.P+кал.R+ыва.S+ть.F
вкалываться;в.P+кал.R+ыва.S+ть.F+ся.S
вкапать;в.P+кап.R+а.S+ть.F
вкапнуть;в.P+кап.R+ну.S+ть.F
вкапывать;в.P+кап.R+ыва.S+ть.F
вкапываться;в.P+кап.R+ыва.S+ть.F+ся.S
вкарабкаться;в.P+карабк.R+а.S+ть.F+ся.S
вкарабкиваться;в.P+карабк.R+ива.S+ть.F+ся.S
вкатать;в.P+кат.R+а.S+ть.F
вкатить;в.P+кат.R+и.S+ть.F
вкатиться;в.P+кат.R+и.S+ть.F+ся.S
вкатывать;в.P+кат.R+ыва.S+ть.F
вкатываться;в.P+кат.R+ыва.S+ть.F+ся.S
вкачать;в.P+кач.R+а.S+ть.F
вкачаться;в.P+кач.R+а.S+ть.F+ся.S
вкачивать;в.P+кач.R+ива.S+ть.F
вкачиваться;в.P+кач.R+ива.S+ть.F+ся.S
вкашиваться;в.P+каш.R+ива.S+ть.F+ся.S
вкидать;в.P+кид.R+а.S+ть.F
вкидывать;в.P+кид.R+ыва.S+ть.F
вкидываться;в.P+кид.R+ыва.S+ть.F+ся.S
вкинуть;в.P+ки.R+ну.S+ть.F
вкинуться;в.P+ки.R+ну.S+ть.F+ся.S
вкладывать;в.P+клад.R+ыва.S+ть.F
вкладываться;в.P+клад.R+ыва.S+ть.F+ся.S
вклеивать;в.P+кле.R+ива.S+ть.F
вклеиваться;в.P+кле.R+ива.S+ть.F+ся.S
вклеить;в.P+кле.R+и.S+ть.F
вклеиться;в.P+кле.R+и.S+ть.F+ся.S
вклепать;в.P+клеп.R+а.S+ть.F
вклепаться;в.P+клеп.R+а.S+ть.F+ся.S
вклепывать;в.P+клеп.R+ыв.S+а.S+ть.F
вклёпывать;в.P+клёп.R+ыва.S+ть.F
вклепываться;в.P+клеп.R+ыв.S+а.S+ть.F+ся.S
вклёпываться;в.P+клёп.R+ыва.S+ть.F+ся.S
вклинивать;в.P+клин.R+ива.S+ть.F
вклиниваться;в.P+клин.R+ива.S+ть.F+ся.S
вклинить;в.P+клин.R+и.S+ть.F
вклиниться;в.P+клин.R+и.S+ть.F+ся.S
включать;в.P+ключ.R+а.S+ть.F
включаться;в.P+ключ.R+а.S+ть.F+ся.S
включить;в.P+ключ.R+и.S+ть.F
включиться;в.P+ключ.R+и.S+ть.F+ся.S
вковать;в.P+ков.R+а.S+ть.F
вковаться;в.P+ков.R+а.S+ть.F+ся.S
вковывать;в.P+ков.R+ыва.S+ть.F
вковываться;в.P+ков.R+ыва.S+ть.F+ся.S
вкогтиться;в.P+когт.R+и.S+ть.F+ся.S
вколачивать;в.P+колач.R+ива.S+ть.F
вколачиваться;в.P+колач.R+ива.S+ть.F+ся.S
вколотить;в.P+колот.R+и.S+ть.F
вколотиться;в.P+колот.R+и.S+ть.F+ся.S
вколоть;в.P+кол.R+о.S+ть.F
вколоться;в.P+кол.R+о.S+ть.F+ся.S
вколоченный;в.P+колоч.R+енн.S+ый.F
вкопать;в.P+коп.R+а.S+ть.F
вкопаться;в.P+коп.R+а.S+ть.F+ся.S
вкоренить;в.P+корен.R+и.S+ть.F
вкорениться;в.P+корен.R+и.S+ть.F+ся.S
вкоренять;в.P+корен.R+я.S+ть.F
вкореняться;в.P+корен.R+я.S+ть.F+ся.S
вкоситься;в.P+кос.R+и.S+ть.F+ся.S
вкрадываться;в.P+крад.R+ыва.S+ть.F+ся.S
вкраивать;в.P+кра.R+ива.S+ть.F
вкраиваться;в.P+кра.R+ива.S+ть.F+ся.S
вкрапить;в.P+крап.R+и.S+ть.F
вкрапиться;в.P+крап.R+и.S+ть.F+ся.S
вкрапленный;в.P+крап.R+л.S+енн.S+ый.F
вкрапливать;в.P+крап.R+л.S+ива.S+ть.F
вкрапливаться;в.P+крап.R+л.S+ива.S+ть.F+ся.S
вкраплять;в.P+крап.R+л.S+я.S+ть.F
вкрапляться;в.P+крап.R+л.S+я.S+ть.F+ся.S
вкрасться;в.P+крас.R+ть.F+ся.S
вкреплять;в.P+креп.R+л.S+я.S+ть.F
вкрепляться;в.P+креп.R+л.S+я.S+ть.F+ся.S
вкроить;в.P+кро.R+и.S+ть.F
вкроиться;в.P+кро.R+и.S+ть.F+ся.S
вкрутить;в.P+крут.R+и.S+ть.F
вкрутиться;в.P+крут.R+и.S+ть.F+ся.S
вкручивать;в.P+круч.R+ива.S+ть.F
вкручиваться;в.P+круч.R+ива.S+ть.F+ся.S
вкуриться;в.P+кур.R+и.S+ть.F+ся.S
вкусить;в.P+кус.R+и.S+ть.F
вкушать;в.P+куш.R+а.S+ть.F
вкушаться;в.P+куш.R+а.S+ть.F+ся.S
вкушенный;в.P+куш.R+енн.S+ый.F
влагаться;в.P+лаг.R+а.S+ть.F+ся.S
владать;влад.R+а.S+ть.F
владеть;влад.R+е.S+ть.F
владычествовать;влад.R+ыч.S+еств.S+ов.S+а.S+ть.F
влажнеть;влаж.R+н.S+е.S+ть.F
властвовать;власт.R+вов.S+а.S+ть.F
влачить;влач.R+и.S+ть.F
влачиться;влач.R+и.S+ть.F+ся.S
влегать;в.P+лег.R+а.S+ть.F
влечь;влеч.R+ь.F
влечься;влеч.R+ь.F+ся.S
влиять;в.P+ли.R+я.S+ть.F
вложиться;в.P+лож.R+и.S+ть.F+ся.S
вляпывать;в.P+ляп.R+ыв.S+а.S+ть.F
вляпываться;в.P+ляп.R+ыв.S+а.S+ть.F+ся.S
вматываться;в.P+мат.R+ыва.S+ть.F+ся.S
вмерзнуть;в.P+мерз.R+ну.S+ть.F
вмёрзнуть;в.P+мёрз.R+ну.S+ть.F
вмеситься;в.P+мес.R+и.S+ть.F+ся.S
вметаться;в.P+мет.R+а.S+ть.F+ся.S
вметнуться;в.P+мет.R+ну.S+ть.F+ся.S
вметывать;в.P+мет.R+ыв.S+а.S+ть.F
вмётывать;в.P+мёт.R+ыва.S+ть.F
вмётываться;в.P+мёт.R+ыва.S+ть.F+ся.S
вмонтировать;в.P+монт.R+ир.S+ов.S+а.S+ть.F
вмораживать;в.P+мораж.R+ив.S+а.S+ть.F
вмотаться;в.P+мот.R+а.S+ть.F+ся.S
вмуроваться;в.P+мур.R+ов.S+а.S+ть.F+ся.S
вмуровываться;в.P+мур.R+ов.S+ыва.S+ть.F+ся.S
вникать;в.P+ник.R+а.S+ть.F
вникнуть;в.P+ник.R+ну.S+ть.F
внушать;в.P+н.P+уш.R+а.S+ть.F
внушаться;в.P+н.P+уш.R+а.S+ть.F+ся.S
внушить;в.P+н.P+уш.R+и.S+ть.F
вобрать;во.P+бр.R+а.S+ть.F
вобраться;во.P+бр.R+а.S+ть.F+ся.S
вовлекать;во.P+влек.R+а.S+ть.F
вовлекаться;во.P+влек.R+а.S+ть.F+ся.S
вовлечь;во.P+влеч.R+ь.F
вовлечься;во.P+влеч.R+ь.F+ся.S
вогнать;во.P+гн.R+а.S+ть.F
водворить;во.P+двор.R+и.S+ть.F
водвориться;во.P+двор.R+и.S+ть.F+ся.S
воденеть;вод.R+ен.S+е.S+ть.F
водить;вод.R+и.S+ть.F
водиться;вод.R+и.S+ть.F+ся.S
водружать;во.P+друж.R+а.S+ть.F
водружаться;во.P+друж.R+а.S+ть.F+ся.S
водрузить;во.P+друз.R+и.S+ть.F
водрузиться;во.P+друз.R+и.S+ть.F+ся.S
водянеть;вод.R+ян.S+е.S+ть.F
воевать;во.R+ев.S+а.S+ть.F
военизировать;во.R+ен.S+изиров.S+а.S+ть.F
военизироваться;во.R+ен.S+изиров.S+а.S+ть.F+ся.S
вожделеть;вождел.R+е.S+ть.F
вожжаться;вожж.R+а.S+ть.F+ся.S
возблестеть;воз.P+блест.R+е.S+ть.F
возблистать;воз.P+блист.R+а.S+ть.F
возбранить;воз.P+бран.R+и.S+ть.F
возбранять;воз.P+бран.R+я.S+ть.F
возбраняться;воз.P+бран.R+я.S+ть.F+ся.S
возбудить;воз.P+буд.R+и.S+ть.F
возбудиться;воз.P+буд.R+и.S+ть.F+ся.S
возбуждать;воз.P+бужд.R+а.S+ть.F
возбуждаться;воз.P+бужд.R+а.S+ть.F+ся.S
возвеличивать;воз.P+вел.R+ич.S+ива.S+ть.F
возвеличиваться;воз.P+вел.R+ич.S+ива.S+ть.F+ся.S
возвеличить;воз.P+вел.R+ич.S+и.S+ть.F
возвеличиться;воз.P+вел.R+ич.S+и.S+ть.F+ся.S
возвеселить;воз.P+весел.R+и.S+ть.F
возвеселиться;воз.P+весел.R+и.S+ть.F+ся.S
возвеселять;воз.P+весел.R+я.S+ть.F
возвеселяться;воз.P+весел.R+я.S+ть.F+ся.S
возвести;воз.P+вес.R+ти.F
возвестись;воз.P+вес.R+ти.F+сь.S
возвестить;воз.P+вест.R+и.S+ть.F
возвеститься;воз.P+вест.R+и.S+ть.F+ся.S
возвещать;воз.P+вещ.R+а.S+ть.F
возвещаться;воз.P+вещ.R+а.S+ть.F+ся.S
возводить;воз.P+вод.R+и.S+ть.F
